heading,price,Year,Make,Model,Class,Length,Fuel_Type,Hull_Material,Offered_By,Engine_Make,Engine_Model,Engine_Year,Total_Power,Engine_Hours,Engine_Type,Fuel_Type.1,Propeller_Type,Dry_Weight,Folding_Propeller,Cruising_Speed,Length_on_Deck,Max_Speed,Length_Overall,Beam,Length_at_Waterline,Windlass,Liferaft_Capacity,Electrical_Circuit,Fresh_Water_Tank,Fuel_Tank,Holding_Tank,Single_Berths,Double_Berths,Cabins,Heads,state,Country/Region/State ,Make,Variant,Length (ft),Geographic Region,Country/Region/State ,Listing Price (USD),Year,new_year
2004 Beneteau Oceanis 423,177329.0,16.0,Beneteau,Oceanis 423,Cruiser,43.0,Diesel,Fiberglass,Anchor Yacht Sales,Volvo,D2,16.0,55.0,400.0,Inboard,Diesel|Diesel,4.0,,0,,,,43.0,12.0,38.0,Electric Windlass,,12.0,1 x 154 gal (Plastic),1 x 53 gal (Plastic),2 x 22 gal (Plastic),,3.0,2.0,2,Gore Bay,Ontario,Beneteau,Oceanis 423,43,USA,South Carolina,155000,2006,14
2006 Beneteau Oceanis Clipper 423,117369.0,14.0,Beneteau,Oceanis Clipper 423,Cruiser,41.54,Diesel,Fiberglass,Azul Yachts Palma SL,Yanmar,4JH3TE,14.0,58.0,5900.0,Inboard,Diesel|Diesel,,,0,,,,41.0,12.0,,Electric Windlass,,,142.65 gal (),52.83 gal (),,,3.0,3.0,3,Palma,Spain,Beneteau,Oceanis Clipper 423,43,Europe,Spain,95961,2006,14
2006 Beneteau 423,172000.0,14.0,Beneteau,423,Cruiser,42.0,Diesel,Fiberglass,Triton Yacht Sales and Service,Yanmar,4JH4E,15.0,54.0,,Inboard,Diesel|Diesel,,,0,,,,43.0,12.0,38.0,None,,,1 x 154 gal (),1 x 53 gal (),2 x 22 gal (),,,2.0,2,Little River,South Carolina,Beneteau,423,43,Caribbean,Trinidad and Tobago,85000,2006,14
2004 Beneteau Oceanis 423,177329.0,16.0,Beneteau,Oceanis 423,Cruiser,43.0,Diesel,Fiberglass,Anchor Yacht Sales,Volvo,D2,16.0,55.0,400.0,Inboard,Diesel|Diesel,4.0,,0,,,,43.0,12.0,38.0,Electric Windlass,,12.0,1 x 154 gal (Plastic),1 x 53 gal (Plastic),2 x 22 gal (Plastic),,3.0,2.0,2,Gore Bay,Ontario,Beneteau,Oceanis 423,43,USA,Virginia,159900,2006,14
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,USA,Georgia,149000,2006,14
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,Europe,Greece,131187,2006,14
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,Europe,Italy,151837,2006,14
2005 Beneteau First 44.7,160000.0,15.0,Beneteau,First 44.7,Racer,44.92,Diesel,Fiberglass,Bluenose Yacht Sales ,Volvo,D2 55 B,,55.0,341.0,Inboard,Diesel|Diesel,3.0,20.0,1,,,,44.0,13.0,,None,,,113 gal (Plastic),53 gal (Plastic),2 x 20 gal (Plastic),,3.0,3.0,2,East Boston,Massachusetts,Beneteau,First 44.7,44,USA,New York,155000,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,USA,California,229000,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,Europe,Croatia,151837,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,USA,Oregon,299000,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,Europe,Spain,151876,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,Europe,Spain,151876,2006,14
2006 Beneteau Oceanis 473,149900.0,14.0,Beneteau,Oceanis 473,Racer/Cruiser,47.0,Diesel,Fiberglass,YachtX,None,None,,,,None,Diesel,,,0,,,,47.0,14.0,,None,,,210 gal (),67 gal (),75 gal (),,3.0,3.0,3,Port Washington,New York,Beneteau,Oceanis 473,47,Europe,Spain,151876,2006,14
2003 Beneteau Oceanis Clipper 473,128236.0,17.0,Beneteau,Oceanis Clipper 473,Cruiser,46.42,Diesel,Fiberglass,Siroco Nautica SA,Yanmar,None,17.0,100.0,,Inboard,Diesel,3.0,,0,,,,46.0,14.0,,Electric Windlass,,,2 x 92.46 gal (),2 x 66.04 gal (),2 x 15.85 gal (),,4.0,4.0,2,Barcelona,Spain,Beneteau,Oceanis Clipper 473,47,Europe,Spain,144586,2006,14
2003 Beneteau Oceanis Clipper 473,128236.0,17.0,Beneteau,Oceanis Clipper 473,Cruiser,46.42,Diesel,Fiberglass,Siroco Nautica SA,Yanmar,None,17.0,100.0,,Inboard,Diesel,3.0,,0,,,,46.0,14.0,,Electric Windlass,,,2 x 92.46 gal (),2 x 66.04 gal (),2 x 15.85 gal (),,4.0,4.0,2,Barcelona,Spain,Beneteau,Oceanis Clipper 473,47,Europe,Spain,144586,2006,14
2008 Beneteau First 50 Sport,255386.0,12.0,Beneteau,First 50 Sport,Sloop,49.18,Diesel,Fiberglass,Grabau International,Yanmar,4JH4,12.0,75.0,,Inboard,Diesel|Diesel,3.0,,1,,,,49.0,14.0,43.0,Electric Windlass,,12.0,150.05 gal (Plastic),62.61 gal (Plastic),2 x 21.13 gal (),2.0,3.0,3.0,2,Barcelona,Spain,Beneteau,First 50,49,Europe,France,241734,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Greece,194359,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Greece,194351,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Greece,188278,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Greece,185858,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Caribbean,Grenada,189000,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Italy,205284,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Malta,206498,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,Portugal,224719,2006,14
2011 Beneteau Oceanis 50 F G5,169000.0,9.0,Beneteau,Oceanis 50 F G5,Sloop,50.0,Diesel,Fiberglass,Charter Yacht Sales,Yanmar,4JH4,10.0,75.0,,Inboard,Diesel|Diesel,3.0,,0,8.0,,9.0,49.0,14.0,,Electric Windlass,,12.0,3 x 85.3 gal (Plastic),2 x 53 gal (Plastic),5 x 18 gal (Plastic),1.0,4.0,5.0,4,Road Harbour,British Virgin Islands,Beneteau,Oceanis 50 ,49,Europe,Romania,157668,2006,14
2006 Beneteau Oceanis 50,233651.0,14.0,Beneteau,Oceanis 50,Cruiser,48.39,Diesel,Fiberglass,Yacht Studio srls,None,None,,,,None,Diesel,,,0,,,,48.0,14.0,,None,,,,,,,,,None,0,Italy,Beneteau,Oceanis 50,49,Europe,United Kingdom,199781,2006,14
2007 Beneteau Cyclades 50.5,124976.0,13.0,Beneteau,Cyclades 50.5,Racer/Cruiser,49.74,Diesel,Fiberglass,Athenian Yachts Enterprises SA,None,None,,,5500.0,Inboard,Diesel|Diesel,,27.0,0,,,,49.0,16.0,,None,,,,,,,,,4,athens,Greece,Beneteau,Cyclades 50.5,51,Europe,Croatia,103249,2006,14
2007 Beneteau Cyclades 50.5,124976.0,13.0,Beneteau,Cyclades 50.5,Racer/Cruiser,49.74,Diesel,Fiberglass,Athenian Yachts Enterprises SA,None,None,,,5500.0,Inboard,Diesel|Diesel,,27.0,0,,,,49.0,16.0,,None,,,,,,,,,4,athens,Greece,Beneteau,Cyclades 50.5,51,Europe,France,144549,2006,14
2020 Beneteau Oceanis 51.1,740000.0,0.0,Beneteau,Oceanis 51.1,Cruiser,51.0,Diesel,Fiberglass,Bluewater Yacht Sales,Yanmar,4JH,,80.0,500.0,Inboard,Diesel,,30.0,0,,,,52.0,15.0,,None,,,116.24 gal (),2 x 52.83 gal (),,,,3.0,2,Boston,Massachusetts,Beneteau,Oceanis 51,51,Caribbean,Grenada,139000,2006,14
2007 Beneteau Cyclades 50.5,124976.0,13.0,Beneteau,Cyclades 50.5,Racer/Cruiser,49.74,Diesel,Fiberglass,Athenian Yachts Enterprises SA,None,None,,,5500.0,Inboard,Diesel|Diesel,,27.0,0,,,,49.0,16.0,,None,,,,,,,,,4,athens,Greece,Beneteau,Cyclades 50.5,51,USA,Washington,199900,2006,14
2005 Beneteau Oceanis 523,350000.0,15.0,Beneteau,Oceanis 523,Racer/Cruiser,53.0,Diesel,Fiberglass,East Coast Yacht Sales,Yanmar,4JH3,15.0,100.0,3400.0,Inboard,Diesel|Diesel,3.0,,0,,,,53.0,16.0,48.0,Electric Windlass,,,,,3 x 35 gal (),,,3.0,3,Harpswell,Maine,Beneteau,523,53,USA,California,337000,2006,14
2005 Beneteau Oceanis Clipper 523,183661.0,15.0,Beneteau,Oceanis Clipper 523,Racer/Cruiser,53.15,Diesel,Fiberglass,White Whale Yachtbrokers,Yanmar,4JH3HTE,15.0,75.0,2300.0,Inboard,Diesel|Diesel,3.0,33.0,0,6.0,,8.0,53.0,16.0,,Electric Windlass,8.0,12.0,198.13 gal (),118.89 gal (),,,4.0,4.0,4,Almería,Spain,Beneteau,Oceanis Clipper 523,53,Europe,Croatia,176131,2006,14
2005 Beneteau Oceanis Clipper 523,183661.0,15.0,Beneteau,Oceanis Clipper 523,Racer/Cruiser,53.15,Diesel,Fiberglass,White Whale Yachtbrokers,Yanmar,4JH3HTE,15.0,75.0,2300.0,Inboard,Diesel|Diesel,3.0,33.0,0,6.0,,8.0,53.0,16.0,,Electric Windlass,8.0,12.0,198.13 gal (),118.89 gal (),,,4.0,4.0,4,Almería,Spain,Beneteau,Oceanis Clipper 523,53,Europe,Greece,230792,2006,14
1997 Beneteau Oceanis 461,149000.0,23.0,Beneteau,Oceanis 461,Cruiser,46.0,Diesel,Fiberglass,Hallmark Yachts Inc,Yanmar,None,,,,None,Diesel,,20.0,0,,,,46.0,13.0,,None,,,200 gal (),52 gal (),,,,2.0,2,San Diego,California,Beneteau,Oceanis 523 A,53,Europe,Romania,194108,2006,14
2005 Beneteau Oceanis 523,350000.0,15.0,Beneteau,Oceanis 523,Racer/Cruiser,53.0,Diesel,Fiberglass,East Coast Yacht Sales,Yanmar,4JH3,15.0,100.0,3400.0,Inboard,Diesel|Diesel,3.0,,0,,,,53.0,16.0,48.0,Electric Windlass,,,,,3 x 35 gal (),,,3.0,3,Harpswell,Maine,Beneteau,Oceanis 523,53,Europe,Spain,361980,2006,14
2005 Beneteau Oceanis 523,350000.0,15.0,Beneteau,Oceanis 523,Racer/Cruiser,53.0,Diesel,Fiberglass,East Coast Yacht Sales,Yanmar,4JH3,15.0,100.0,3400.0,Inboard,Diesel|Diesel,3.0,,0,,,,53.0,16.0,48.0,Electric Windlass,,,,,3 x 35 gal (),,,3.0,3,Harpswell,Maine,Beneteau,Oceanis 523,53,Europe,Spain,252657,2006,14
2006 Beneteau 343,119800.0,14.0,Beneteau,343,Cruiser,34.0,Diesel,Fiberglass,Rubicon Yachts,Yanmar Diesel,3YM30,14.0,29.0,82.0,None,Diesel|Diesel,3.0,,0,,,,35.0,11.0,30.0,None,,,67 gal (),20 gal (),21 gal (),,2.0,2.0,1,San Rafael,California,C&C,115,38,USA,California,129900,2006,14
2006 Beneteau 343,119800.0,14.0,Beneteau,343,Cruiser,34.0,Diesel,Fiberglass,Rubicon Yachts,Yanmar Diesel,3YM30,14.0,29.0,82.0,None,Diesel|Diesel,3.0,,0,,,,35.0,11.0,30.0,None,,,67 gal (),20 gal (),21 gal (),,2.0,2.0,1,San Rafael,California,C&C,115,38,USA,California,144900,2006,14
2006 Beneteau 343,119800.0,14.0,Beneteau,343,Cruiser,34.0,Diesel,Fiberglass,Rubicon Yachts,Yanmar Diesel,3YM30,14.0,29.0,82.0,None,Diesel|Diesel,3.0,,0,,,,35.0,11.0,30.0,None,,,67 gal (),20 gal (),21 gal (),,2.0,2.0,1,San Rafael,California,C&C,115,38,USA,Maryland,129000,2006,14
2000 Cabo Rico 42,275000.0,20.0,Cabo Rico,42,Cruiser,46.5,Diesel,Fiberglass,Integrity Yacht Sales,None,None,,,,Other,Diesel|Diesel,,26.0,0,,,,46.0,12.0,42.0,None,,,165 gal (GRP),72 gal (GRP),,7.0,,,1,Tracys Landing,Maryland,Cabo Rico,42,46,USA,Rhode Island,349000,2006,14
2006 Catalina 387,155400.0,14.0,Catalina,387,Racer/Cruiser,38.0,Diesel,Fiberglass,Grandpappy Point Marina,Yanmar,3JH4E,14.0,40.0,58.0,Inboard,Diesel|Diesel,,19.0,0,,,,39.0,12.0,32.0,None,,,102 gal (),37 gal (),24 gal (),,,,1,Denison,Texas,Catalina,387,38,USA,Maryland,135900,2006,14
2006 Catalina 387,155400.0,14.0,Catalina,387,Racer/Cruiser,38.0,Diesel,Fiberglass,Grandpappy Point Marina,Yanmar,3JH4E,14.0,40.0,58.0,Inboard,Diesel|Diesel,,19.0,0,,,,39.0,12.0,32.0,None,,,102 gal (),37 gal (),24 gal (),,,,1,Denison,Texas,Catalina,387,38,USA,North Carolina,159900,2006,14
1990 Catalina 42 MK I (3 SR),89900.0,30.0,Catalina,42 MK I (3 SR),Cruiser,42.0,Diesel,Fiberglass,West Coast Yachts,Yanmar,4JHBE,30.0,44.0,2200.0,Inboard,Diesel|Diesel,3.0,18.0,0,6.0,41.0,8.0,42.0,13.0,36.0,Electric Windlass,,12.0,4 x 30 gal (Plastic),1 x 39 gal (Aluminum),2 x 25 gal (Plastic),,3.0,2.0,2,Long Beach,California,Catalina,400 MK II,40,USA,Florida,145000,2006,14
2002 Catalina 42 MK IIC,144900.0,18.0,Catalina,42 MK IIC,Sloop,42.0,Diesel,Fiberglass,Triton Yacht Sales and Service,2002 Yanmar ,4JH3 ,,,,Inboard,Diesel|Diesel,,20.0,0,7.0,,8.0,41.0,13.0,36.0,None,,,3 x 115 gal (),1 x 46 gal (),2 x 60 gal (),,,2.0,2,Oriental,North Carolina,Catalina,42 MK II,42,USA,Massachusetts,159900,2006,14
2009 Catalina Morgan 440,249000.0,11.0,Catalina,Morgan 440,Cruiser,44.0,Diesel,Fiberglass,Frank Gordon Yacht Sales,Yanmar, 4JH3,,75.0,254.0,None,Diesel|Diesel,,25.0,0,,,,45.0,14.0,40.0,None,,,176 gal (),117 gal (),55 gal (),,,2.0,2,Fort Pierce,Florida,Catalina,Morgan 440,46,USA,Florida,219000,2006,14
2006 Beneteau 343,119800.0,14.0,Beneteau,343,Cruiser,34.0,Diesel,Fiberglass,Rubicon Yachts,Yanmar Diesel,3YM30,14.0,29.0,82.0,None,Diesel|Diesel,3.0,,0,,,,35.0,11.0,30.0,None,,,67 gal (),20 gal (),21 gal (),,2.0,2.0,1,San Rafael,California,Catalina ,Morgan 440 DS Sloop,46,Caribbean,Mexico,200000,2006,14
2013 Comar Comet 41S,149971.0,7.0,Comar,Comet 41S,Other,41.8,Diesel,Other,MEDIA SHIP INTERNATIONAL,LOMBARDINI,None,,40.0,500.0,Inboard,Diesel|Diesel,,,0,,,,41.0,12.0,,None,,,118.88 gal (),36.98 gal (),,,,2.0,1,Italia,Italy,Comar,Comet 41S,41,Europe,Italy,139690,2006,14
2013 Comar Comet 41S,149971.0,7.0,Comar,Comet 41S,Other,41.8,Diesel,Other,MEDIA SHIP INTERNATIONAL,LOMBARDINI,None,,40.0,500.0,Inboard,Diesel|Diesel,,,0,,,,41.0,12.0,,None,,,118.88 gal (),36.98 gal (),,,,2.0,1,Italia,Italy,Comar,Comet 41S,41,Europe,Italy,120255,2006,14
2006 Delphia 40,124500.0,14.0,Delphia,40,Cruiser,40.0,Diesel,Fiberglass,Marine Servicenter ,Yanmar,None,14.0,40.0,315.0,Inboard,Diesel|Diesel,3.0,,1,,,,39.0,12.0,36.0,Electric Windlass,,110.0,1 x 92 gal (Stainless Steel),1 x 55 gal (),2 x 12 gal (),,3.0,2.0,2,Seattle,Washington,Delphia,40,39,Europe,Italy,78945,2006,14
2006 Delphia 40,124500.0,14.0,Delphia,40,Cruiser,40.0,Diesel,Fiberglass,Marine Servicenter ,Yanmar,None,14.0,40.0,315.0,Inboard,Diesel|Diesel,3.0,,1,,,,39.0,12.0,36.0,Electric Windlass,,110.0,1 x 92 gal (Stainless Steel),1 x 55 gal (),2 x 12 gal (),,3.0,2.0,2,Seattle,Washington,Delphia,40,39,Europe,Sweden,159277,2006,14
2023 Dufour 37,364999.0,-3.0,Dufour,37,Racer/Cruiser,35.33,Diesel,Fiberglass,Racine Riverside Marine,Volvo,None,-3.0,19.0,,Inboard,Diesel|Diesel,2.0,14.0,1,,,,35.0,12.0,,None,,,47 gal (),42 gal (),,,,,1,Racine,Wisconsin,Dufour,385 GL,38,Europe,France,103249,2006,14
2006 Dufour 40 Performance,129323.0,14.0,Dufour,40 Performance,Racer/Cruiser,40.52,Diesel,Fiberglass,De Valk Yacht Brokers ,Volvo Penta,D2,14.0,55.0,2100.0,Inboard,Diesel|Diesel,2.0,,1,6.0,,7.0,40.0,12.0,33.0,Electric Windlass,4.0,12.0,1 x 87.18 gal (Plastic),1 x 42.27 gal (Stainless Steel),1 x 15.85 gal (Plastic),2.0,3.0,3.0,2,Almerimar,Spain,Dufour,40 Performance,40,Europe,Spain,108108,2006,14
2023 Dufour 37,364999.0,-3.0,Dufour,37,Racer/Cruiser,35.33,Diesel,Fiberglass,Racine Riverside Marine,Volvo,None,-3.0,19.0,,Inboard,Diesel|Diesel,2.0,14.0,1,,,,35.0,12.0,,None,,,47 gal (),42 gal (),,,,,1,Racine,Wisconsin,Dufour,44 Performance,44,Europe,Italy,132402,2006,14
2008 Dufour 455,195615.0,12.0,Dufour,455,Racer,147.64,Diesel,Fiberglass,YBI Yacht Broker international,Volvo Penta ,None,12.0,76.0,,Outboard,Diesel|Diesel,,,0,,,,44.0,45.0,,None,,,,,,,,3.0,6,,"Las Palmas , Spain",Dufour,455,45,Europe,Greece,145764,2006,14
2007 Dufour 455 GL,151928.0,13.0,Dufour,455 GL,Cruiser,45.0,Diesel,Fiberglass,Selymar Yachts,None,None,,,,None,Diesel,,,0,,,,45.0,14.0,,None,,,,,,,,,2,Upon request,Greece,Dufour,455 GL,45,Europe,Greece,132402,2006,14
2008 Dufour 455,195615.0,12.0,Dufour,455,Racer,147.64,Diesel,Fiberglass,YBI Yacht Broker international,Volvo Penta ,None,12.0,76.0,,Outboard,Diesel|Diesel,,,0,,,,44.0,45.0,,None,,,,,,,,3.0,6,,"Las Palmas , Spain",Dufour,455,45,Europe,Malta,163984,2006,14
2007 Dufour 455 GL,151928.0,13.0,Dufour,455 GL,Cruiser,45.0,Diesel,Fiberglass,Selymar Yachts,None,None,,,,None,Diesel,,,0,,,,45.0,14.0,,None,,,,,,,,,2,Upon request,Greece,Dufour,455 GL,45,Europe,Spain,168886,2006,14
2007 Elan Impression 384,97807.0,13.0,Elan,Impression 384,Cruiser,36.91,Diesel,Fiberglass,Yacht Broker House,Volvo Penta,D2,15.0,40.0,4500.0,Inboard,Diesel|Diesel,,16.0,0,,,,37.0,12.0,,None,,,47.55 gal (),63.4 gal (),15.85 gal (),,3.0,3.0,1,Preveza,Greece,Elan,Impression 384,38,Europe,Croatia,100212,2006,14
2007 Elan Impression 384,97807.0,13.0,Elan,Impression 384,Cruiser,36.91,Diesel,Fiberglass,Yacht Broker House,Volvo Penta,D2,15.0,40.0,4500.0,Inboard,Diesel|Diesel,,16.0,0,,,,37.0,12.0,,None,,,47.55 gal (),63.4 gal (),15.85 gal (),,3.0,3.0,1,Preveza,Greece,Elan,Impression 384,38,Europe,Croatia,93076,2006,14
2007 Elan Impression 384,97807.0,13.0,Elan,Impression 384,Cruiser,36.91,Diesel,Fiberglass,Yacht Broker House,Volvo Penta,D2,15.0,40.0,4500.0,Inboard,Diesel|Diesel,,16.0,0,,,,37.0,12.0,,None,,,47.55 gal (),63.4 gal (),15.85 gal (),,3.0,3.0,1,Preveza,Greece,Elan,Impression 384,38,Europe,Croatia,72882,2006,14
2007 Elan Impression 384,97807.0,13.0,Elan,Impression 384,Cruiser,36.91,Diesel,Fiberglass,Yacht Broker House,Volvo Penta,D2,15.0,40.0,4500.0,Inboard,Diesel|Diesel,,16.0,0,,,,37.0,12.0,,None,,,47.55 gal (),63.4 gal (),15.85 gal (),,3.0,3.0,1,Preveza,Greece,Elan,Impression 384,38,Europe,Croatia,59520,2006,14
2006 Elan 434 Impression,129323.0,14.0,Elan,434 Impression,Cruiser,42.62,Diesel,Fiberglass,De Valk Yacht Brokers ,Volvo Penta,D2,14.0,55.0,3900.0,Inboard,Diesel|Diesel,3.0,,0,6.0,,8.0,42.0,13.0,37.0,Electric Windlass,,12.0,4 x 50.19 gal (Plastic),1 x 71.33 gal (Stainless Steel),1 x 34.34 gal (Plastic),,3.0,4.0,2,Almerimar,Spain,Elan,434 Impression,44,Europe,Croatia,109080,2006,14
2006 Elan Impression 434,119434.0,14.0,Elan,Impression 434,Cruiser,43.96,Diesel,Fiberglass,munitor,VOLVO PENTA,D2,14.0,98.0,5500.0,Inboard,Diesel|Diesel,,,0,,,3.0,44.0,13.0,,Electric Windlass,,,136.31 gal (),71.33 gal (),,8.0,,4.0,2,Istria,Croatia,Elan,Impression 434,44,Europe,Malta,168843,2006,14
2006 Elan Impression 434,119434.0,14.0,Elan,Impression 434,Cruiser,43.96,Diesel,Fiberglass,munitor,VOLVO PENTA,D2,14.0,98.0,5500.0,Inboard,Diesel|Diesel,,,0,,,3.0,44.0,13.0,,Electric Windlass,,,136.31 gal (),71.33 gal (),,8.0,,4.0,2,Istria,Croatia,Elan,Impression 434,44,Europe,Spain,129973,2006,14
2006 Elan Impression 434,119434.0,14.0,Elan,Impression 434,Cruiser,43.96,Diesel,Fiberglass,munitor,VOLVO PENTA,D2,14.0,98.0,5500.0,Inboard,Diesel|Diesel,,,0,,,3.0,44.0,13.0,,Electric Windlass,,,136.31 gal (),71.33 gal (),,8.0,,4.0,2,Istria,Croatia,Elan,Impression 434,44,Europe,Spain,106893,2006,14
2006 Elan Impression 434,119434.0,14.0,Elan,Impression 434,Cruiser,43.96,Diesel,Fiberglass,munitor,VOLVO PENTA,D2,14.0,98.0,5500.0,Inboard,Diesel|Diesel,,,0,,,3.0,44.0,13.0,,Electric Windlass,,,136.31 gal (),71.33 gal (),,8.0,,4.0,2,Istria,Croatia,Elan,Impression 434,44,Europe,Sweden,201697,2006,14
2003 Grand Soleil 40 C,150000.0,17.0,Grand Soleil,40 C,Racer/Cruiser,40.0,Diesel,Fiberglass,Pacific Cruising Yachts LLC,Yanmar,3JH3E,17.0,40.0,2148.0,Inboard,Diesel|Diesel,3.0,,1,7.0,,8.0,39.0,12.0,34.0,Electric Windlass,,,2 x 47 gal (Plastic),1 x 48 gal (Stainless Steel),1 x 20 gal (Plastic),,2.0,3.0,1,Anacortes,Washington,Grand Soleil,40,41,Europe,Italy,145744,2006,14
2003 Grand Soleil 40 C,150000.0,17.0,Grand Soleil,40 C,Racer/Cruiser,40.0,Diesel,Fiberglass,Pacific Cruising Yachts LLC,Yanmar,3JH3E,17.0,40.0,2148.0,Inboard,Diesel|Diesel,3.0,,1,7.0,,8.0,39.0,12.0,34.0,Electric Windlass,,,2 x 47 gal (Plastic),1 x 48 gal (Stainless Steel),1 x 20 gal (Plastic),,2.0,3.0,1,Anacortes,Washington,Grand Soleil,40,41,Europe,Italy,111752,2006,14
1986 Grand Soleil 343,41296.0,34.0,Grand Soleil,343,Cruiser,34.19,Diesel,Fiberglass,YD Yachts,VOLVO ,None,34.0,30.0,,Inboard,Diesel|Diesel,2.0,,0,,,,34.0,11.0,,None,,,,,,,,2.0,1,Peloponese,Greece,Grand Soleil,43,43,Europe,Greece,157911,2006,14
